**Characteristic**,"**Overall**  
N = 55","**Alive**  
N = 24","**Dead**  
N = 31",**p-value**
__Sex__,NA,NA,NA,0.001
F,20 (36.4%),3 (12.5%),17 (54.8%),NA
M,35 (63.6%),21 (87.5%),14 (45.2%),NA
__Age at treatment__,"71.0 (63.0, 76.0)","68.0 (60.5, 76.0)","74.0 (64.0, 77.0)",0.3
__Primary site__,NA,NA,NA,>0.9
Colon,23 (41.8%),10 (41.7%),13 (41.9%),NA
Rectum,32 (58.2%),14 (58.3%),18 (58.1%),NA
__Multiplicity__,NA,NA,NA,0.6
multiple,21 (38.2%),10 (41.7%),11 (35.5%),NA
single,34 (61.8%),14 (58.3%),20 (64.5%),NA
__Tumor size (mm)__,"12.8 (8.0, 17.0)","10.0 (7.0, 13.7)","16.0 (8.0, 20.0)",0.028
__Total dose (cGy)__,NA,NA,NA,0.067
4500,1 (1.8%),0 (0.0%),1 (3.2%),NA
4800,14 (25.5%),4 (16.7%),10 (32.3%),NA
5000,20 (36.4%),10 (41.7%),10 (32.3%),NA
5100,1 (1.8%),0 (0.0%),1 (3.2%),NA
5200,12 (21.8%),9 (37.5%),3 (9.7%),NA
5400,4 (7.3%),1 (4.2%),3 (9.7%),NA
6000,3 (5.5%),0 (0.0%),3 (9.7%),NA
__GTV volume (cc)__,"1.5 (0.4, 5.4)","0.6 (0.3, 1.7)","3.3 (0.8, 6.7)",0.006
__PTV mean BED₁₀ (Gy)__,"135.7 (125.4, 146.4)","139.0 (128.8, 143.9)","133.8 (123.9, 149.0)",0.9
